対象か,付番,原則,達成基準,適合レベル,W3C公式テキスト,簡単解釈,テスト手法,めも,メモ,取引先管理,承認待ちの請求書,発注照合管理,請求書登録,請求書管理,請求書自動登録
Yes,2.4.7,操作可能,フォーカスの可視化の達成基準,AA,キーボード操作が可能なあらゆるユーザインタフェースには、フォーカスインジケータが見える操作モードがある。,キーボード操作で今どこにいるか、見てわかるようにする。,"1. マウスを使わず、Tabキー / Shift+Tab でページ上を移動する。
2. ボタン、リンク、入力欄などにフォーカスを移動したとき、見た目が変化するかを確認。

    ◦ 例：枠線が出る、背景色が変わる、下線が付くなど

3. 変化が小さすぎて見分けにくくないかも目視でチェック。
","チェックボックスがenterを押してもチェックがつかない
チェックボックスの変化がわかりにくい",デザイナー,達成,部分的に達成,未達成,部分的に達成,未達成,部分的に達成
Yes,"2.5.1 ",操作可能,ポインタのジェスチャー,A,マルチポイント又は軌跡ベースのジェスチャを使って操作するhttps://waic.jp/translations/WCAG21/#dfn-functionalityはすべて、軌跡ベースのジェスチャなしのhttps://waic.jp/translations/WCAG21/#dfn-single-pointerで操作することができる。ただし、マルチポイント又は軌跡ベースのジェスチャがhttps://waic.jp/translations/WCAG21/#dfn-essentialである場合は例外とする。,複雑な操作（スワイプやピンチなど）をしなくても、単純なタップやクリックで同じ機能を使えるようにする。,"1. サイトやアプリで スワイプ・ピンチ・長押し・ドラッグ などの操作が必要な箇所を探す。
2. その機能に対して、単一のタップやクリックなどの簡単な操作で代替できるか確認。

    ◦ 例：画像の拡大 → ピンチ操作だけでなく「＋/－ボタン」があるか
    ◦ 例：ドラッグで並べ替え → 「上下ボタン」で並べ替えできるか

3. ジェスチャーが必須の場合は、それが本質的に必要かどうか（例：お絵描きアプリのフリーハンド描画など）を判断。
",,デザイナー,該当なし,該当なし,該当なし,該当なし,該当なし,未達成
Yes,2.5.2,操作可能,ポインタのキャンセル,A,https://waic.jp/translations/WCAG21/#dfn-single-pointerを使って操作できるhttps://waic.jp/translations/WCAG21/#dfn-functionalityは、以下の要件の少なくとも 一つを満たす。ダウンイベントがない機能を実行する目的でポインタのhttps://waic.jp/translations/WCAG21/#dfn-down-eventを使用していない。中止又は元に戻すことができる機能の完了にはhttps://waic.jp/translations/WCAG21/#dfn-up-eventを使用し、かつ機能の完了前に中止する、又は機能の完了後に元に戻すためのhttps://waic.jp/translations/WCAG21/#dfn-mechanismが利用できる。アップイベントで反転アップイベントによって、先のダウンイベントのすべての結果が反転する。必要不可欠ダウンイベントによって機能を完了させることがhttps://waic.jp/translations/WCAG21/#dfn-essentialである。,タップやクリックの操作は、押しただけで勝手に実行されないようにする。ユーザーが意図を確定できるようにする。,"1. ボタン、リンク、アイコン、スライダーなど ポインタ操作（マウス・タッチ）で実行できるUIを確認。
2. 次の点をチェックする：

    ◦ 押した瞬間に即実行されないか（押してから離したときに実行されるのが望ましい）
    ◦ ドラッグやスライドなどの操作は、離す前に取り消せるか
    ◦ タップやクリックで実行される操作に、「キャンセル」や「取り消し」手段があるか

3. 誤タップが起きやすいスマホ操作で特に注意して確認する。
",,デザイナー,該当なし,該当なし,達成,該当なし,該当なし,未達成
Yes,2.5.3,操作可能,ラベルを含む名前,A,https://waic.jp/translations/WCAG21/#dfn-user-interface-componentsがhttps://waic.jp/translations/WCAG21/#dfn-text又はhttps://waic.jp/translations/WCAG21/#dfn-images-of-textを含むhttps://waic.jp/translations/WCAG21/#dfn-labelsを持つ場合、視覚的に提示されたテキストがhttps://waic.jp/translations/WCAG21/#dfn-nameに含まれている。,ボタンやリンクのラベルと、機械が認識する「名前（アクセシブルネーム）」は同じ内容にする。画面読み上げと視覚的な表示が一致することで混乱を防ぐ。,"1. ページ内の ボタンやリンク、アイコン付きの操作要素を確認する。
2. 目に見えるラベル（例：「検索」ボタン）と、スクリーンリーダーが読み上げる名前が 一致しているかを確認する。
（Mac） VoiceOver などを使い、フォーカスを当てて読み上げをチェック。","削除ボタンが「削除」になっていない
「詳細」は「グループ」と読み上げされる",デザイナー,達成,達成,未達成,達成,未達成,未達成
Yes,2.5.7,操作可能,ドラッグ動作,AA,操作にhttps://waic.jp/translations/WCAG22/#dfn-dragging-movementsを用いる全てのhttps://waic.jp/translations/WCAG22/#dfn-functionalityは、ドラッグなしのhttps://waic.jp/translations/WCAG22/#dfn-single-pointerで完遂できる。ただし、ドラッグがhttps://waic.jp/translations/WCAG22/#dfn-essentialである、又はその機能がhttps://waic.jp/translations/WCAG22/#dfn-user-agentsによって決定され、かつコンテンツ制作者によって変更されない場合は除く。,ドラッグ（つかんで動かす）が必要な機能には、代わりにクリックやタップでも操作できる方法を用意する。,"1. サイトやアプリ内で ドラッグ操作（指やマウスを押したまま移動する）を必要とする機能があるか探す。

    ◦ 例：カードをドラッグして並べ替える
    ◦ 例：スライダーのハンドルをドラッグして調整する

2. その機能に、ドラッグ以外の操作手段（単一のタップ／クリック／矢印キーなど）が用意されているかを確認。

    ◦ 並べ替えなら「上下ボタン」
    ◦ スライダーなら「＋／－ボタン」や数値入力欄

",,デザイナー,該当なし,該当なし,該当なし,達成,該当なし,達成
Yes,2.5.8,理解可能,ターゲットのサイズ (最低限),AA,https://waic.jp/translations/WCAG22/#dfn-pointer-inputsのhttps://waic.jp/translations/WCAG22/#dfn-targetsのサイズは、少なくとも 24 × 24 https://waic.jp/translations/WCAG22/#dfn-css-pixelsである。ただし、次の場合は除く:間隔複数の小さなターゲット (24 × 24 CSS ピクセル未満のもの) が配置されており、それぞれのhttps://waic.jp/translations/WCAG22/#dfn-bounding-boxesの中心に直径 24 CSS ピクセルの円があるとした場合に、その円が別のターゲットと重なる、又は別の小さなターゲットの円と重なることがない。同等その機能は、この達成基準を満たす同一ページ上の別のコントロールを通じて達成できる。インラインターゲットが文中に存在する、又は、そのサイズがターゲット以外のテキストに対する行の高さによって制約されている。ユーザエージェントのコントロールターゲットのサイズがhttps://waic.jp/translations/WCAG22/#dfn-user-agentsによって決定され、かつコンテンツ制作者によって変更されていない。必要不可欠そのターゲットを特定の方法でhttps://waic.jp/translations/WCAG22/#dfn-presentationすることが、https://waic.jp/translations/WCAG22/#dfn-essentialである、又は伝達される情報に対して法的に要求されている。,ボタンやリンクなどのクリック・タップ領域は、小さすぎないように最低限の大きさを確保する。これにより指先やポインタで正しく選べるようにする。,"1. ページやアプリの リンク・ボタン・アイコンなどの操作ターゲットを確認。
2. 小さすぎて押しにくいものがないかをチェック。特にスマホ画面でテストする。
3. CSSやデザイン上のサイズを測り、24 × 24 CSSピクセル以上あるか確認する。
    ◦ スマホの場合44px 四方 
4. ターゲット同士が近すぎて誤タップしやすくないかも確認。
",デザインルールで16x16を許容しているため,デザイナー,達成,未達成,未達成,達成,未達成,達成
Yes,3.1.1,理解可能,ページの言語の達成基準,A,それぞれのhttps://waic.jp/translations/WCAG21/#dfn-web-page-sのデフォルトのhttps://waic.jp/translations/WCAG21/#dfn-human-language-sがどの言語であるか、https://waic.jp/translations/WCAG21/#dfn-programmatically-determinableである。,ページ全体の言語を正しく指定する。,"1. ページ全体の 主な言語（日本語、英語など）を確認する。
2. HTML の <html> タグに lang 属性が設定されているかを開発者ツールで確認。

    ◦ 例：日本語ページ → <html lang=""ja"">
    ◦ 英語ページ → <html lang=""en"">

3. スクリーンリーダーで読み上げて、言語設定が正しく反映されているかチェック。
",,,部分的に達成,部分的に達成,達成,達成,達成,部分的に達成
Yes,3.1.2,理解可能,一部分の言語の達成基準,AA,コンテンツの一節、又は語句それぞれのhttps://waic.jp/translations/WCAG21/#dfn-human-language-sがどの言語であるか、https://waic.jp/translations/WCAG21/#dfn-programmatically-determinableである。ただし、固有名詞、技術用語、言語が不明な語句、及びすぐ前後にあるテキストの言語の一部になっている単語又は語句は除く。,ページの一部が別の言語なら、その言語も指定する。,"1. ページ本文の中に、主言語とは異なる言語が使われている箇所がないか探す。

    ◦ 例：日本語ページの中に “Sign in” と英語表記がある
    ◦ 例：英語ページの中に「こんにちは」と日本語が混ざっている

2. 開発者ツールでその要素を確認し、lang 属性が部分的に指定されているかチェック。

    ◦ 例：<span lang=""en"">Sign in</span>
    ◦ 例：<span lang=""ja"">こんにちは</span>

3. スクリーンリーダーで読み上げて、異なる言語部分が正しく発音されているか確認する。
",,,達成,達成,達成,該当なし,該当なし,達成
Yes,3.2.1,理解可能,フォーカス時の達成基準,A,いずれのhttps://waic.jp/translations/WCAG21/#dfn-user-interface-componentsも、フォーカスを受け取ったときにhttps://waic.jp/translations/WCAG21/#dfn-change-of-contextを引き起こさない。,フォーカスしても予想外の動作が起きないようにする。,"1. キーボード操作（Tab / Shift+Tab）でフォーム要素やリンク、ボタンにフォーカスを移動する。
2. フォーカスが当たった瞬間に、勝手にページが遷移したり、送信されたり、設定が変わったりしないかを確認。
3. フォーカスしただけで予期しない動作が発生するUI（例：入力欄に入った瞬間にポップアップが開くなど）がないか、勝手にフォーカスがキャンセルされないかを見る",,デザイナー,達成,達成,達成,達成,達成,達成
Yes,3.2.2,理解可能,入力時の達成基準,A,https://waic.jp/translations/WCAG21/#dfn-user-interface-componentsの設定を変更することが、https://waic.jp/translations/WCAG21/#dfn-change-of-contextを自動的に引き起こさない。ただし、利用者が使用する前にその挙動を知らせてある場合を除く。,入力しても思わぬ画面遷移などが起きないようにする。,"1. フォームや検索ボックス、ドロップダウンメニュー、チェックボックス、ラジオボタンなどに入力してみる。
2. 入力や選択をした瞬間に、ページ遷移・送信・大きなレイアウト変更が自動で発生しないかを確認する。
3. もし自動的に変化が起きる場合、それが 事前に分かるように説明されているかを確認。
",,デザイナー,部分的に達成,未達成,達成,達成,達成,達成
Yes,3.2.3,理解可能,一貫したナビゲーションの達成基準,AA,https://waic.jp/translations/WCAG21/#dfn-set-of-web-pagesの中にある複数のhttps://waic.jp/translations/WCAG21/#dfn-web-page-s上で繰り返されているナビゲーションのメカニズムは、繰り返されるたびにhttps://waic.jp/translations/WCAG21/#dfn-same-relative-orderで出現する。ただし、利用者が変更した場合は除く。,ナビゲーションはページごとに同じ並びにする。,"1. サイト内の複数ページを見比べて、共通のナビゲーション（グローバルメニュー、サイドメニュー、フッターリンクなど）があるか確認。
2. 各ページでその並び順や配置が 毎回変わっていないかをチェック。
3. ページごとにナビゲーションの場所がバラバラになっていないかも確認。
",,デザイナー,達成,未達成,達成,未達成,未達成,達成
Yes,3.2.4,理解可能,一貫した識別性の達成基準,AA,https://waic.jp/translations/WCAG21/#dfn-set-of-web-pagesの中でhttps://waic.jp/translations/WCAG21/#dfn-same-functionalityを有するコンポーネントは、一貫して識別できる。,同じ機能には同じラベルや名前をつける。,"1. サイト内で 同じ役割のボタンやリンク、アイコン を探す。
  ◦ 例：「検索」ボタン、「カートに追加」ボタン、ナビゲーションのアイコン

2. それらがページごとに 異なるラベルやアイコン で示されていないかを確認。
 ◦ 例：あるページでは「カートに追加」、別のページでは「買い物かごへ」 → 混乱のもと
  ◦ 例：検索アイコンが虫眼鏡だったり、双眼鏡だったりする

3. スクリーンリーダーでの読み上げも含め、同じ機能は同じ名前・ラベルで一貫しているかをチェック。",CSVのインポート・ダウンロードが怪しい,デザイナー,達成,達成,部分的に達成,該当なし,達成,達成
Yes,3.2.6,理解可能,一貫したヘルプ,A,"ウェブページが次のヘルプのメカニズムのいずれかを含み、かつ、それらのメカニズムがウェブページ一式の中にある複数のウェブページで繰り返されている場合、他のページコンテンツに対して相対的に同じ順序で出現する。ただし、変更が利用者によって行われた場合は除く。
• 人間への連絡先
• 人間への連絡メカニズム
• 自己解決のためのオプション
• 完全に自動化された連絡メカニズム",ヘルプの出し方や場所は、どのページでもそろえる。,"1. サイト内で複数ページを開いて、ヘルプやサポートへの手段（例：FAQ、チャット、問い合わせフォーム、サポート電話番号など）があるか確認。
2. それらがある場合、常に同じ場所・同じ方法で提供されているかをチェック。

    ◦ 例：ヘッダー右上に常に「ヘルプ」リンクがある
    ◦ 例：フッターに必ず「お問い合わせ」へのリンクがある

3. ページによって、ヘルプのリンクが突然なくなったり、場所が変わったりしていないか確認。
",領域ごとにページが変わるのは問題ないか？,デザイナー,達成,達成,達成,達成,達成,達成
Yes,3.3.1,理解可能,エラーの特定の達成基準,A,https://waic.jp/translations/WCAG21/#dfn-input-errorが自動的に検出された場合は、エラーとなっている箇所が特定され、そのエラーが利用者にテキストで説明される。,入力のエラーがあればユーザーに伝える。,"1. フォームや入力欄に 不正な値を入力してみる。

    ◦ 例：必須欄を空のまま送信
    ◦ 例：メール欄に「abc」だけ入力して送信

2. 送信すると、どの欄がエラーか明確に示されているかを確認。
    ◦ エラーメッセージが表示される
    ◦ エラー欄が強調表示される（色だけでなくテキストやアイコンでも）

3. 単に送信が失敗するだけで、理由が分からないUIはNG。",,デザイナー,達成,部分的に達成,達成,部分的に達成,達成,達成
Yes,3.3.2,理解可能,ラベル又は説明の達成基準,A,コンテンツが利用者の入力を要求する場合は、https://waic.jp/translations/WCAG21/#dfn-labels又は説明文が提供されている。,入力欄には目的を示すラベルや説明をつける。,"1. ページ内の フォーム入力欄やボタンを確認する。
2. 各入力欄の ラベル（名前や説明文） が表示されているかチェック。

    ◦ 例：名前、メールアドレス、電話番号、パスワードなどが明示されているか

3. 入力条件がある場合（例：パスワードは8文字以上、郵便番号は7桁など）、その条件が事前に説明されているかを確認。
4. プレースホルダー（入力欄の薄い文字）だけに依存していないかを確認。
",検索ボックスの入力項目をプレースフォルダーで説明しているため,デザイナー,部分的に達成,部分的に達成,未達成,未達成,部分的に達成,未達成
Yes,3.3.3,理解可能,エラー修正の提案の達成基準,AA,https://waic.jp/translations/WCAG21/#dfn-input-errorが自動的に検出され、修正方法を提案できる場合、その提案が利用者に提示される。ただし、セキュリティ又はコンテンツの目的を損なう場合は除く。,入力エラーの直し方をユーザーに示す。,". フォームでわざとエラーを発生させる。

    ◦ 例：必須欄を空にして送信
    ◦ 例：メール欄に「aaa」だけ入力して送信
    ◦ 例：パスワード条件（8文字以上、記号含むなど）を満たさずに送信

2. エラーメッセージが 何が間違っているのか、どう直せばいいのかを伝えているか確認。

    ◦ 「エラーがあります」だけではNG
    ◦ 「メールアドレスの形式が正しくありません。」ならOK",,デザイナー,達成,部分的に達成,該当なし,部分的に達成,達成,達成
Yes,3.3.4,理解可能,エラー回避(法的，金融及びデータ)の達成基準,AA,利用者にとってhttps://waic.jp/translations/WCAG21/#dfn-legal-commitmentsもしくは金融取引が生じる、https://waic.jp/translations/WCAG21/#dfn-user-controllableデータストレージシステム上のデータを変更もしくは削除する、又は利用者が試験の解答を送信するhttps://waic.jp/translations/WCAG21/#dfn-web-page-sでは、次に挙げる事項のうち、少なくとも一つを満たしている取消送信を取り消すことができる。チェック利用者が入力したデータの入力エラーがチェックされ、利用者には修正する機会が提供される。確認送信を完了する前に、利用者が情報の見直し、確認及び修正をするメカニズムが利用できる。,重要な入力（契約、購入など）は確認や修正の機会を設ける。,"1. サイトやアプリで 法的・金融・データ送信に関わるフォームがないか確認。

    ◦ 例：契約申し込みフォーム
    ◦ 例：ショッピングの購入確定画面
    ◦ 例：会員情報の削除や送信

2. そのような場面で以下が提供されているか確認：

    ◦ 確認画面（送信前に内容を確認できる）
    ◦ 修正機能（送信前または送信後に修正できる）
    ◦ 取り消しや再実行の手段があるか

3. ユーザーがうっかり送信しても、重大な損失につながらないようになっているかをチェック。
",おそらく当てはまらない？,デザイナー,該当なし,達成,該当なし,該当なし,該当なし,未達成
Yes,3.3.7,理解可能,冗長な入力項目,A,"以前に利用者によって入力された、又は利用者に対して提供された情報であって、同一のプロセスにおいて再入力する必要がある情報は、次のいずれかである。
• 自動入力される。又は、
• 利用者が選択可能である。
ただし、次の場合は除く:
• 情報の再入力が必要不可欠である。
• その情報がコンテンツのセキュリティを確保するために必要である。又は、
• 以前に入力された情報が無効になっている。",フォームの入力内容を確認したり、入力方法で迷ったりしたときに、すぐに助けになる手段を提供する。,"1. 入力フォーム（申込・登録・購入など）で、同じ情報を何度も入力させていないか確認する。

    ◦ 例：名前や住所を最初に入力したのに、次のステップでもう一度同じ入力を求められる
    ◦ 例：すでにアカウントに保存されている情報を再度入力させられる

2. もし繰り返し入力が必要な場合、以下の仕組みがあるかを確認：

    ◦ 自動入力（オートフィル）
    ◦ 前に入力した内容を引き継ぐ
    ◦ 選択式で再利用できる

",,デザイナー,達成,達成,達成,該当なし,該当なし,達成
Yes,4.1.1,堅牢性,構文解析の達成基準,A,マークアップ言語を用いて実装されているコンテンツにおいては、要素には完全な開始タグ及び終了タグがあり、要素は仕様に準じて入れ子になっていて、要素には重複した属性がなく、どの ID も一意的である。ただし、仕様で認められているものを除く。,コードは正しく書き、機械が理解できるようにする。,"1. 開発者ツールや検証ツール（例：https://validator.w3.org/#validate_by_uri+with_options）でページの HTML をチェックする。
2. 次のようなエラーがないかを確認：

    ◦ 開始タグと終了タグの不一致（例：<div><span></div>）
    ◦ 重複した属性（例：id=""x"" id=""y""）
    ◦ 不正な入れ子（例：<a><button>…</button></a>）
    ◦ ラベルのないフォーム要素や壊れた ARIA 属性

3. スクリーンリーダーで読み上げてみて、要素の解釈がおかしくなっていないかもチェック。
","やり方がわからないのでスキップ
URLがでも環境だとエラーになる？？",,達成,達成,未着手,部分的に達成,達成,部分的に達成
Yes,4.1.2,堅牢性,名前(name)，役割(role)及び値(value)の達成基準,A,すべてのhttps://waic.jp/translations/WCAG21/#dfn-user-interface-components (フォームを構成する要素、リンク、スクリプトが生成するコンポーネントなど) では、https://waic.jp/translations/WCAG21/#dfn-name 及びhttps://waic.jp/translations/WCAG21/#dfn-role は、https://waic.jp/translations/WCAG21/#dfn-programmatically-determinableである。又、状態、プロパティ、利用者が設定可能な値はhttps://waic.jp/translations/WCAG21/#dfn-programmatically-setが可能である。そして、https://waic.jp/translations/WCAG21/#dfn-assistive-technologiesを含むhttps://waic.jp/translations/WCAG21/#dfn-user-agentsが、これらの項目に対する変更通知を利用できる。,ボタンやフォームなどの要素には、役割や名前を正しくつけておく。,"1. ページ内の UI コンポーネント（ボタン、リンク、入力欄、チェックボックス、ラジオボタン、スライダー、タブ、モーダルなど）を順に操作してみる。
2. スクリーンリーダー（例：VoiceOver、NVDA）で以下が正しく伝わるかを確認：

    ◦ 名前 (Name)：その要素のラベルや代替テキスト（例：「検索ボタン」）
    ◦ 役割 (Role)：要素の種類（ボタン、リンク、チェックボックスなど）
    ◦ 値 (Value)：要素の状態や入力値（オン／オフ、選択中、入力済みテキストなど）

3. 状態が変わるUI（例：チェックボックス、開閉式メニュー）で、スクリーンリーダーの読み上げ内容が正しく変わるかを確認。","2.に関して
デートピッカーが意図した挙動になっていなさそう
詳細のポップアップの中に入るのがわからない",,未達成,部分的に達成,部分的に達成,達成,未達成,部分的に達成
Yes,4.1.3,堅牢性,コンテンツの変更をユーザーに知らせる,AA,マークアップ言語を使って実装されたコンテンツでは、https://waic.jp/translations/WCAG21/#dfn-status-messagesは、https://waic.jp/translations/WCAG21/#dfn-role 又はプロパティを通してhttps://waic.jp/translations/WCAG21/#dfn-programmatically-determinableであり、フォーカスを受けとらなくてもhttps://waic.jp/translations/WCAG21/#dfn-assistive-technologiesによって利用者に提示することができる。,エラーや完了などのメッセージは、支援技術でも読み取れるようにする。,"1. フォーム送信、検索、フィルタ更新などで 状態が変化したときのメッセージを確認。

    ◦ 例：「送信が完了しました」「検索結果は10件です」「エラーがあります」など

2. そのメッセージが 画面上に表示されるだけでなく、スクリーンリーダーでも読み上げられるかをチェック。

    ◦ VoiceOver / NVDA / JAWS などでテスト

3. メッセージを読むためにフォーカスを移動しなくても、自動で読み上げられることを確認。",メッセージは表示されるが、読み上げはできていない（画面遷移するから？？）,,未達成,部分的に達成,未達成,未達成,未達成,未達成